snapped_at,price,market_cap,total_volume
2021-12-04 00:00:00 UTC,11.898977553825300,304058024.5679360,50485407.11785340
2021-12-05 00:00:00 UTC,10.96784890481410,279965246.32883900,29962509.18204110
2021-12-06 00:00:00 UTC,10.70098363335570,272469089.49876400,22945960.92884140
2021-12-07 00:00:00 UTC,11.376763905913000,290032998.4662480,153893111.73792000
2021-12-08 00:00:00 UTC,11.454073336861800,292974032.22401200,29031591.91728510
2021-12-09 00:00:00 UTC,11.700488524133000,298877065.84439800,16892676.267750600
2021-12-10 00:00:00 UTC,10.614278160769200,272278090.6114700,13683542.125783700
2021-12-11 00:00:00 UTC,10.222674470971500,262302395.33704800,13730673.998658500
2021-12-12 00:00:00 UTC,10.761274315751700,274806203.27816800,16226278.447548700
2021-12-13 00:00:00 UTC,10.804990463548000,275520847.2396670,29662575.162215200
2021-12-14 00:00:00 UTC,9.447236416330450,242257452.37176500,13779243.444620300
2021-12-15 00:00:00 UTC,9.349261887700450,239292620.31885600,9103950.517194310
2021-12-16 00:00:00 UTC,9.542416361059250,244243742.22387700,12442706.68394990
2021-12-17 00:00:00 UTC,9.655067256361940,246575460.50692700,9168027.07252335
2021-12-18 00:00:00 UTC,9.446409877596930,241527947.36681200,14196457.991239400
2021-12-19 00:00:00 UTC,9.852496117690840,251931122.58167400,13318906.053447700
2021-12-20 00:00:00 UTC,9.895605970073050,253160028.6860030,16435559.421584300
2021-12-21 00:00:00 UTC,9.58979425365172,247336482.97783400,34670807.640383200
2021-12-22 00:00:00 UTC,9.78729496723875,252615939.6200530,11891882.39736230
2021-12-23 00:00:00 UTC,10.033985546350500,259052668.31584300,26254365.462320200
2021-12-24 00:00:00 UTC,10.592328343708800,272289295.85958600,11563160.049533700
2021-12-25 00:00:00 UTC,10.8302930614087,277731075.2379330,12376833.421716000
2021-12-26 00:00:00 UTC,11.027955045856600,284477909.1589940,49075802.77247900
2021-12-27 00:00:00 UTC,10.592779633285100,273052489.5722060,16450985.198095000
2021-12-28 00:00:00 UTC,11.099032702781400,285336375.92193200,22343496.179329300
2021-12-29 00:00:00 UTC,11.600279628876300,296644065.2440310,67550068.03419670
